rowid,pl_hostname,pl_letter,pl_discmethod,pl_pnum,pl_orbper,pl_orbperlim,pl_orbsmax,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenlim,pl_orbincl,pl_orbincllim,pl_bmassj,pl_bmassjlim,pl_bmassprov,pl_radj,pl_radjlim,pl_dens,pl_denslim,pl_ttvflag,pl_kepflag,pl_k2flag,pl_nnotes,ra_str,ra,dec_str,dec,st_dist,st_distlim,st_optmag,st_optmagerr,st_optmaglim,st_optmagblend,st_optband,st_teff,st_tefflim,st_teffblend,st_mass,st_masslim,st_massblend,st_rad,st_radlim,st_radblend
2724,Kepler-758,d,Transit,4,20.4966197,0,,,,,,,,,,0.189,0,,,0,1,0,1,19h32m20.31s,293.084606,+41d08m07.6s,41.135436,1353,0,14.348,,0,0,Kepler-band,6228,0,0,1.16,0,0,1.42,0,0
2725,Kepler-758,e,Transit,4,8.1934719,0,,,,,,,,,,0.136,0,,,0,1,0,1,19h32m20.31s,293.084606,+41d08m07.6s,41.135436,1353,0,14.348,,0,0,Kepler-band,6228,0,0,1.16,0,0,1.42,0,0
2726,Kepler-759,b,Transit,1,41.805985,0,,,,,,,,,,0.203,0,,,0,1,0,1,19h20m31.56s,290.131501,+41d22m53.4s,41.381498,892,0,14.502,,0,0,Kepler-band,5860,0,0,1.04,0,0,1.04,0,0
2727,Kepler-76,b,Orbital Brightness Modulation,1,1.5449298,0,0.0274,0,,,77.55,0,2.01,0,Mass,1.36,0,1.1,0,0,1,0,1,19h36m46.11s,294.192118,+39d37m08.4s,39.619003,,,13.308,,0,0,Kepler-band,6409,0,0,1.2,0,0,1.32,0,0
2728,Kepler-760,b,Transit,2,8.70419416,0,,,,,,,,,,0.273,0,,,0,1,0,1,19h10m22.37s,287.593209,+44d10m45.9s,44.179417,782,0,15.07,,0,0,Kepler-band,5322,0,0,0.89,0,0,0.85,0,0
2729,Kepler-760,c,Transit,2,2.46697439,0,,,,,,,,,,0.132,0,,,0,1,0,1,19h10m22.37s,287.593209,+44d10m45.9s,44.179417,782,0,15.07,,0,0,Kepler-band,5322,0,0,0.89,0,0,0.85,0,0
2730,Kepler-761,b,Transit,1,10.12804789,0,,,,,,,,,,0.181,0,,,0,1,0,1,19h22m00.86s,290.503604,+44d08m36.9s,44.143581,867,0,14.743,,0,0,Kepler-band,5706,0,0,0.95,0,0,0.93,0,0
2731,Kepler-762,b,Transit,1,3.7705521,0,,,,,,,,,,1.131,0,,,0,1,0,1,19h25m06.15s,291.275634,+47d19m46.2s,47.329491,1465,0,15.439,,0,0,Kepler-band,5944,0,0,1.06,0,0,1.08,0,0
2732,Kepler-763,b,Transit,1,1.19655156,0,,,,,,,,,,0.109,0,,,0,1,0,1,19h28m34.67s,292.144477,+47d09m26.5s,47.157352,902,0,15.692,,0,0,Kepler-band,5166,0,0,0.84,0,0,0.8,0,0
2733,Kepler-764,b,Transit,1,7.33683936,0,,,,,,,,,,0.146,0,,,0,1,0,1,19h49m34.36s,297.393183,+47d09m52.7s,47.164627,1013,0,15.302,,0,0,Kepler-band,5557,0,0,0.92,0,0,0.89,0,0
2734,Kepler-765,b,Transit,1,27.6655226,0,,,,,,,,,,0.217,0,,,0,1,0,1,18h52m44.31s,283.184612,+47d09m20.4s,47.15567,1000,0,14.609,,0,0,Kepler-band,5901,0,0,1.05,0,0,1.06,0,0
2735,Kepler-766,b,Transit,1,6.10027804,0,,,,,,,,,,0.302,0,,,0,1,0,1,19h32m44.29s,293.184531,+37d58m11.5s,37.969851,1614,0,15.678,,0,0,Kepler-band,5992,0,0,1.1,0,0,1.15,0,0
2736,Kepler-767,b,Transit,1,161.5280101,0,,,,,,,,,,0.592,0,,,0,1,0,1,19h26m19.00s,291.579173,+38d02m09.0s,38.035828,1185,0,15.435,,0,0,Kepler-band,5694,0,0,0.96,0,0,0.94,0,0
2737,Kepler-768,b,Transit,1,11.3910025,0,,,,,,,,,,0.16,0,,,0,1,0,1,19h36m27.76s,294.115656,+38d23m36.5s,38.393485,795,0,15.681,,0,0,Kepler-band,5108,0,0,0.82,0,0,0.78,0,0
2738,Kepler-769,b,Transit,2,7.42608998,0,,,,,,,,,,0.261,0,,,0,1,0,1,19h30m51.14s,292.713101,+38d21m29.6s,38.358213,1362,0,14.818,,0,0,Kepler-band,6186,0,0,1.19,0,0,1.28,0,0
2739,Kepler-769,c,Transit,2,15.9870174,0,,,,,,,,,,0.16,0,,,0,1,0,1,19h30m51.14s,292.713101,+38d21m29.6s,38.358213,1362,0,14.818,,0,0,Kepler-band,6186,0,0,1.19,0,0,1.28,0,0
2740,Kepler-77,b,Transit,1,3.57878087,0,0.04501,0,0,0,88,0,0.43,0,Mass,0.96,0,0.603,0,0,1,0,1,19h18m25.91s,289.607956,+44d20m43.5s,44.345425,570,0,13.938,,0,0,Kepler-band,5520,0,0,0.95,0,0,0.99,0,0
2741,Kepler-770,b,Transit,3,18.92540274,0,,,,,,,,,,0.205,0,,,0,1,0,1,19h05m57.70s,286.490428,+38d22m29.7s,38.374907,761,0,14.604,,0,0,Kepler-band,5598,0,0,0.94,0,0,0.92,0,0
2742,Kepler-770,c,Transit,3,1.47532231,0,,,,,,,,,,0.107,0,,,0,1,0,1,19h05m57.70s,286.490428,+38d22m29.7s,38.374907,761,0,14.604,,0,0,Kepler-band,5598,0,0,0.94,0,0,0.92,0,0
2743,Kepler-770,d,Transit,3,4.15244722,0,,,,,,,,,,0.125,0,,,0,1,0,1,19h05m57.70s,286.490428,+38d22m29.7s,38.374907,761,0,14.604,,0,0,Kepler-band,5598,0,0,0.94,0,0,0.92,0,0
2744,Kepler-771,b,Transit,1,8.73485836,0,,,,,,,,,,0.162,0,,,0,1,0,1,19h09m46.58s,287.44409,+38d05m18.4s,38.088431,1000,0,14.794,,0,0,Kepler-band,5906,0,0,1.03,0,0,1.05,0,0
2745,Kepler-772,b,Transit,1,12.99207337,0,,,,,,,,,,0.162,0,,,0,1,0,1,19h25m41.66s,291.423583,+38d12m59.7s,38.216591,689,0,13.974,,0,0,Kepler-band,5714,0,0,0.98,0,0,1.11,0,0
2746,Kepler-773,b,Transit,1,3.74910006,0,,,,,,,,,,0.128,0,,,0,1,0,1,19h23m32.32s,290.884667,+38d03m27.2s,38.057567,528,0,13.333,,0,0,Kepler-band,5850,0,0,1.04,0,0,1.01,0,0
2747,Kepler-774,b,Transit,1,11.0895723,0,,,,,,,,,,0.283,0,,,0,1,0,1,19h24m07.66s,291.03193,+38d12m43.0s,38.211956,1190,0,12.808,,0,0,Kepler-band,6403,0,0,1.57,0,0,2.42,0,0
2748,Kepler-775,b,Transit,1,0.97486893,0,,,,,,,,,,0.106,0,,,0,1,0,1,19h25m43.99s,291.433297,+41d42m12.4s,41.703438,400,0,13.507,,0,0,Kepler-band,5468,0,0,0.92,0,0,0.84,0,0
2749,Kepler-776,b,Transit,1,4.89718784,0,,,,,,,,,,0.114,0,,,0,1,0,1,19h09m05.43s,287.27264,+41d38m08.0s,41.635559,727,0,15.456,,0,0,Kepler-band,5071,0,0,0.83,0,0,0.78,0,0
2750,Kepler-777,b,Transit,1,5.72812599,0,,,,,,,,,,0.131,0,,,0,1,0,1,18h50m53.77s,282.724059,+44d20m47.3s,44.346478,383,0,15.95,,0,0,Kepler-band,4043,0,0,0.58,0,0,0.56,0,0
2751,Kepler-778,b,Transit,1,3.75574426,0,,,,,,,,,,0.15,0,,,0,1,0,1,19h09m54.58s,287.477437,+44d14m15.1s,44.237514,899,0,15.764,,0,0,Kepler-band,5102,0,0,0.81,0,0,0.77,0,0
2752,Kepler-779,b,Transit,1,7.09714223,0,,,,,,,,,,0.082,0,,,0,1,0,1,19h02m30.85s,285.628532,+44d18m39.2s,44.310889,224,0,15.649,,0,0,Kepler-band,3804,0,0,0.46,0,0,0.44,0,0
2753,Kepler-78,b,Transit,1,0.355,0,,,0,0,79,0,0.006,0,Mass,0.105,0,5.57,0,0,1,0,1,19h34m58.01s,293.74169,+44d26m54.0s,44.44833,,,11.551,,0,0,Kepler-band,5058,0,0,0.76,0,0,0.74,0,0
2754,Kepler-780,b,Transit,1,0.67737516,0,,,,,,,,,,0.079,0,,,0,1,0,1,18h47m03.93s,281.766389,+44d17m33.2s,44.292549,520,0,13.326,,0,0,Kepler-band,5769,0,0,1.01,0,0,1.02,0,0
2755,Kepler-781,b,Transit,1,13.2140732,0,,,,,,,,,,0.258,0,,,0,1,0,1,19h10m36.87s,287.653619,+47d24m53.3s,47.414811,1036,0,15.987,,0,0,Kepler-band,5162,0,0,0.81,0,0,0.78,0,0
2756,Kepler-782,b,Transit,1,158.6853308,0,,,,,,,,,,0.286,0,,,0,1,0,1,19h15m28.38s,288.868231,+47d45m34.0s,47.759434,412,0,12.783,,0,0,Kepler-band,5867,0,0,0.98,0,0,1.01,0,0
2757,Kepler-783,b,Transit,1,4.29264638,0,,,,,,,,,,0.07,0,,,0,1,0,1,19h24m15.10s,291.062936,+47d29m05.3s,47.484803,544,0,13.916,,0,0,Kepler-band,5521,0,0,0.93,0,0,0.89,0,0
2758,Kepler-784,b,Transit,1,31.5922646,0,,,,,,,,,,0.141,0,,,0,1,0,1,19h43m40.96s,295.920663,+47d26m55.0s,47.448616,604,0,13.29,,0,0,Kepler-band,5674,0,0,1,0,0,1.32,0,0
2759,Kepler-785,b,Transit,1,1.97376093,0,,,,,,,,,,1.162,0,,,0,1,0,1,19h28m16.39s,292.068304,+38d50m32.1s,38.842261,666,0,15.715,,0,0,Kepler-band,4739,0,0,0.77,0,0,0.71,0,0
2760,Kepler-786,b,Transit,1,53.5293487,0,,,,,,,,,,0.217,0,,,0,1,0,1,19h34m58.55s,293.743938,+38d56m21.4s,38.939276,512,0,14.887,,0,0,Kepler-band,4838,0,0,0.81,0,0,0.74,0,0
2761,Kepler-787,b,Transit,1,0.9283105,0,,,,,,,,,,0.114,0,,,0,1,0,1,19h26m46.19s,291.692465,+38d34m22.5s,38.572907,468,0,15.854,,0,0,Kepler-band,4248,0,0,0.65,0,0,0.62,0,0
2762,Kepler-788,b,Transit,1,8.39846269,0,,,,,,,,,,0.227,0,,,0,1,0,1,19h20m00.10s,290.000414,+38d32m23.6s,38.539892,1649,0,15.291,,0,0,Kepler-band,6159,0,0,1.16,0,0,1.23,0,0
2763,Kepler-789,b,Transit,1,8.63847725,0,,,,,,,,,,0.189,0,,,0,1,0,1,19h43m54.04s,295.975153,+38d56m47.9s,38.946652,915,0,14.507,,0,0,Kepler-band,5870,0,0,1.01,0,0,1.02,0,0
2764,Kepler-79,b,Transit,4,13.4845,0,0.117,0,0.015,0,88.78,0,0.0343,0,Mass,0.31,0,1.43,0,1,1,0,1,20h02m04.11s,300.517131,+44d22m53.7s,44.38158,,,13.914,,0,0,Kepler-band,6174,0,0,1.17,0,0,1.3,0,0
2765,Kepler-79,c,Transit,4,27.4029,0,0.187,0,0.03,0,89.48,0,0.019,0,Mass,0.332,0,0.62,0,1,1,0,1,20h02m04.11s,300.517131,+44d22m53.7s,44.38158,,,13.914,,0,0,Kepler-band,6174,0,0,1.17,0,0,1.3,0,0
2766,Kepler-79,d,Transit,4,52.0902,0,0.287,0,0.025,0,89.93,0,0.019,0,Mass,0.639,0,0.09,0,1,1,0,1,20h02m04.11s,300.517131,+44d22m53.7s,44.38158,,,13.914,,0,0,Kepler-band,6174,0,0,1.17,0,0,1.3,0,0
2767,Kepler-79,e,Transit,4,81.0659,0,0.386,0,0.012,0,89.13,0,0.013,0,Mass,0.311,0,0.53,0,1,1,0,1,20h02m04.11s,300.517131,+44d22m53.7s,44.38158,,,13.914,,0,0,Kepler-band,6174,0,0,1.17,0,0,1.3,0,0
2768,Kepler-790,b,Transit,1,13.73469807,0,,,,,,,,,,0.194,0,,,0,1,0,1,19h07m40.11s,286.917117,+38d52m20.0s,38.872221,727,0,15.187,,0,0,Kepler-band,5208,0,0,0.84,0,0,0.8,0,0
2769,Kepler-791,b,Transit,1,14.5539759,0,,,,,,,,,,0.272,0,,,0,1,0,1,19h34m23.00s,293.595841,+39d01m46.1s,39.029477,1447,0,14.377,,0,0,Kepler-band,6383,0,0,1.3,0,0,1.47,0,0
2770,Kepler-792,b,Transit,1,11.30119217,0,,,,,,,,,,0.175,0,,,0,1,0,1,19h28m01.64s,292.006813,+38d49m14.6s,38.820733,1205,0,14.981,,0,0,Kepler-band,5971,0,0,1.09,0,0,1.12,0,0
2771,Kepler-793,b,Transit,1,4.24153639,0,,,,,,,,,,0.122,0,,,0,1,0,1,19h40m51.99s,295.21664,+38d46m27.6s,38.774343,794,0,14.621,,0,0,Kepler-band,5745,0,0,0.98,0,0,0.97,0,0
2772,Kepler-794,b,Transit,1,11.13125132,0,,,,,,,,,,0.188,0,,,0,1,0,1,19h12m32.09s,288.133701,+38d59m48.8s,38.996881,763,0,13.459,,0,0,Kepler-band,5839,0,0,1.19,0,0,1.38,0,0
2773,Kepler-795,b,Transit,1,29.6193421,0,,,,,,,,,,0.15,0,,,0,1,0,1,19h24m04.57s,291.019046,+38d32m44.1s,38.54558,458,0,13.331,,0,0,Kepler-band,5631,0,0,0.94,0,0,0.96,0,0
2774,Kepler-796,b,Transit,1,6.40087618,0,,,,,,,,,,0.116,0,,,0,1,0,1,19h09m13.89s,287.307857,+39d08m41.0s,39.144731,377,0,12.988,,0,0,Kepler-band,5475,0,0,0.93,0,0,1.09,0,0
2775,Kepler-797,b,Transit,1,27.07237711,0,,,,,,,,,,0.194,0,,,0,1,0,1,19h48m50.15s,297.208965,+41d46m54.1s,41.781708,752,0,14.556,,0,0,Kepler-band,5680,0,0,0.96,0,0,0.95,0,0
2776,Kepler-798,b,Transit,1,13.71933369,0,,,,,,,,,,0.213,0,,,0,1,0,1,19h29m54.77s,292.478209,+42d08m32.2s,42.142291,1085,0,14.2,,0,0,Kepler-band,6224,0,0,1.19,0,0,1.29,0,0
2777,Kepler-799,b,Transit,1,133.4605235,0,,,,,,,,,,0.614,0,,,0,1,0,1,19h08m41.97s,287.174894,+44d52m42.9s,44.878571,1029,0,15.12,,0,0,Kepler-band,5681,0,0,0.95,0,0,0.93,0,0
2778,Kepler-8,b,Transit,1,3.5224991,0,0.0474,0,,,83.978,0,0.59,0,Mass,1.416,0,0.27,0,0,1,0,1,18h45m09.15s,281.288118,+42d27m03.9s,42.45108,1330,0,13.9,0.324,0,0,V (Johnson),6213,0,0,1.21,0,0,1.49,0,0
2779,Kepler-80,b,Transit,5,7.053,0,,,,,,,,,,0.236,0,,,1,1,0,1,19h44m27.02s,296.112564,+39d58m43.6s,39.978779,,,14.804,,0,0,Kepler-band,4613,0,0,0.72,0,0,0.64,0,0
2780,Kepler-80,c,Transit,5,9.522,0,,,,,,,,,,0.249,0,,,1,1,0,1,19h44m27.02s,296.112564,+39d58m43.6s,39.978779,,,14.804,,0,0,Kepler-band,4613,0,0,0.72,0,0,0.64,0,0
2781,Kepler-80,d,Transit,5,3.072186,0,0.037,0,,,,,,,,0.155,0,,,1,1,0,1,19h44m27.02s,296.112564,+39d58m43.6s,39.978779,,,14.804,,0,0,Kepler-band,4613,0,0,0.72,0,0,0.64,0,0
2782,Kepler-80,e,Transit,5,4.645387,0,0.049,0,,,,,,,,0.146,0,,,1,1,0,1,19h44m27.02s,296.112564,+39d58m43.6s,39.978779,,,14.804,,0,0,Kepler-band,4613,0,0,0.72,0,0,0.64,0,0
2783,Kepler-80,f,Transit,5,0.98678706,0,,,,,,,,,,0.11,0,,,0,1,0,1,19h44m27.02s,296.112564,+39d58m43.6s,39.978779,,,14.804,,0,0,Kepler-band,4613,0,0,0.72,0,0,0.64,0,0
2784,Kepler-800,b,Transit,1,14.13176026,0,,,,,,,,,,0.254,0,,,0,1,0,1,19h06m17.96s,286.574823,+44d47m42.7s,44.795204,1049,0,15.762,,0,0,Kepler-band,5315,0,0,0.85,0,0,0.82,0,0
2785,Kepler-801,b,Transit,1,11.41928253,0,,,,,,,,,,0.178,0,,,0,1,0,1,19h04m18.06s,286.075243,+44d39m52.7s,44.664639,419,0,15.314,,0,0,Kepler-band,4435,0,0,0.67,0,0,0.63,0,0
2786,Kepler-802,b,Transit,1,40.0587473,0,,,,,,,,,,0.316,0,,,0,1,0,1,19h04m03.81s,286.015855,+45d00m28.0s,45.007767,828,0,14.862,,0,0,Kepler-band,5507,0,0,0.93,0,0,0.9,0,0
2787,Kepler-803,b,Transit,1,50.28638192,0,,,,,,,,,,0.338,0,,,0,1,0,1,19h56m53.19s,299.221605,+44d41m37.9s,44.693874,615,0,13.672,,0,0,Kepler-band,5919,0,0,1.05,0,0,1.12,0,0
2788,Kepler-804,b,Transit,2,14.37457351,0,,,,,,,,,,0.173,0,,,0,1,0,1,19h33m29.34s,293.37227,+44d47m06.5s,44.785137,648,0,13.749,,0,0,Kepler-band,5817,0,0,1.01,0,0,1.05,0,0
2789,Kepler-804,c,Transit,2,9.65185017,0,,,,,,,,,,0.102,0,,,0,1,0,1,19h33m29.34s,293.37227,+44d47m06.5s,44.785137,648,0,13.749,,0,0,Kepler-band,5817,0,0,1.01,0,0,1.05,0,0
2790,Kepler-805,b,Transit,1,30.8638931,0,,,,,,,,,,0.258,0,,,0,1,0,1,19h32m55.19s,293.229945,+45d03m11.9s,45.053314,657,0,12.547,,0,0,Kepler-band,6112,0,0,1.19,0,0,1.65,0,0
2791,Kepler-806,b,Transit,1,8.09219642,0,,,,,,,,,,0.102,0,,,0,1,0,1,19h44m01.69s,296.007043,+44d51m12.4s,44.853443,260,0,11.731,,0,0,Kepler-band,5770,0,0,0.99,0,0,1.16,0,0
2792,Kepler-807,b,Transit,1,117.9310878,0,,,,,,,,,,0.93,0,,,0,1,0,1,19h16m04.84s,289.020172,+48d07m11.3s,48.119812,1312,0,15.128,,0,0,Kepler-band,5965,0,0,1.04,0,0,1.06,0,0
2793,Kepler-808,b,Transit,1,0.63133235,0,,,,,,,,,,0.13,0,,,0,1,0,1,19h26m22.58s,291.59409,+48d26m44.2s,48.445614,321,0,14.285,,0,0,Kepler-band,4653,0,0,0.76,0,0,0.71,0,0
2794,Kepler-809,b,Transit,1,55.63934,0,,,,,,,,,,0.269,0,,,0,1,0,1,19h16m20.07s,289.083643,+48d01m05.3s,48.018131,933,0,14.755,,0,0,Kepler-band,5734,0,0,0.99,0,0,0.98,0,0
2795,Kepler-81,b,Transit,3,5.955,0,,,,,,,,,,0.216,0,,,1,1,0,1,19h34m32.87s,293.63695,+42d49m29.9s,42.82497,,,15.019,,0,0,Kepler-band,4500,0,0,0.64,0,0,0.59,0,0
2796,Kepler-81,c,Transit,3,12.04,0,,,,,,,,,,0.211,0,,,1,1,0,1,19h34m32.87s,293.63695,+42d49m29.9s,42.82497,,,15.019,,0,0,Kepler-band,4500,0,0,0.64,0,0,0.59,0,0
2797,Kepler-81,d,Transit,3,20.837846,0,0.128,0,,,,,,,,0.108,0,,,0,1,0,1,19h34m32.87s,293.63695,+42d49m29.9s,42.82497,,,15.019,,0,0,Kepler-band,4500,0,0,0.64,0,0,0.59,0,0
2798,Kepler-810,b,Transit,1,4.59725385,0,,,,,,,,,,0.172,0,,,0,1,0,1,19h46m27.57s,296.614859,+48d04m57.5s,48.082645,1554,0,15.803,,0,0,Kepler-band,5803,0,0,1.03,0,0,1.04,0,0
2799,Kepler-811,b,Transit,1,23.58447697,0,,,,,,,,,,0.241,0,,,0,1,0,1,19h01m41.83s,285.424273,+47d50m04.6s,47.834614,847,0,13.971,,0,0,Kepler-band,5747,0,0,1.01,0,0,1.24,0,0
2800,Kepler-812,b,Transit,1,10.11716531,0,,,,,,,,,,0.317,0,,,0,1,0,1,19h15m25.27s,288.85529,+48d12m30.7s,48.208538,1482,0,13.832,,0,0,Kepler-band,6761,0,0,1.45,0,0,1.71,0,0
2801,Kepler-813,b,Transit,1,19.12947337,0,,,,,,,,,,0.191,0,,,0,1,0,1,19h02m39.05s,285.662694,+48d26m07.3s,48.435371,840,0,14.569,,0,0,Kepler-band,5743,0,0,0.95,0,0,0.93,0,0
2802,Kepler-814,b,Transit,1,6.1469851,0,,,,,,,,,,0.189,0,,,0,1,0,1,18h59m38.52s,284.910486,+48d25m53.9s,48.431644,1327,0,14.706,,0,0,Kepler-band,6162,0,0,1.15,0,0,1.22,0,0
2803,Kepler-815,b,Transit,1,8.57503552,0,,,,,,,,,,0.367,0,,,0,1,0,1,19h00m53.07s,285.22111,+47d52m53.0s,47.881382,1199,0,13.242,,0,0,Kepler-band,5028,0,0,1.25,0,0,3.42,0,0
2804,Kepler-816,b,Transit,1,10.50682565,0,,,,,,,,,,0.914,0,,,0,1,0,1,19h33m27.08s,293.362842,+39d12m44.8s,39.212452,1059,0,15.95,,0,0,Kepler-band,5286,0,0,0.9,0,0,0.85,0,0
2805,Kepler-817,b,Transit,1,3.99010623,0,,,,,,,,,,0.806,0,,,0,1,0,1,19h44m19.65s,296.081856,+39d09m41.8s,39.161617,1401,0,15.572,,0,0,Kepler-band,5861,0,0,1.03,0,0,1.03,0,0
2806,Kepler-818,b,Transit,1,10.03538581,0,,,,,,,,,,0.456,0,,,0,1,0,1,19h44m56.43s,296.235105,+39d22m13.2s,39.370343,967,0,15.062,,0,0,Kepler-band,5638,0,0,0.94,0,0,0.92,0,0
2807,Kepler-819,b,Transit,1,33.1995648,0,,,,,,,,,,0.246,0,,,0,1,0,1,19h41m28.99s,295.370797,+39d10m38.0s,39.177218,722,0,15.03,,0,0,Kepler-band,5279,0,0,0.86,0,0,0.81,0,0
2808,Kepler-82,b,Transit,4,26.444,0,,,,,,,,,,0.357,0,,,1,1,0,1,19h31m29.61s,292.87339,+42d57m58.1s,42.966137,,,15.158,,0,0,Kepler-band,5428,0,0,0.85,0,0,0.94,0,0
2809,Kepler-82,c,Transit,4,51.538,0,,,,,,,,,,0.477,0,,,1,1,0,1,19h31m29.61s,292.87339,+42d57m58.1s,42.966137,,,15.158,,0,0,Kepler-band,5428,0,0,0.85,0,0,0.94,0,0
2810,Kepler-82,d,Transit,4,2.382961,0,0.034,0,,,,,,,,0.158,0,,,1,1,0,1,19h31m29.61s,292.87339,+42d57m58.1s,42.966137,,,15.158,,0,0,Kepler-band,5428,0,0,0.85,0,0,0.94,0,0
2811,Kepler-82,e,Transit,4,5.902206,0,0.063,0,,,,,,,,0.22,0,,,1,1,0,1,19h31m29.61s,292.87339,+42d57m58.1s,42.966137,,,15.158,,0,0,Kepler-band,5428,0,0,0.85,0,0,0.94,0,0
2812,Kepler-820,b,Transit,1,127.8338098,0,,,,,,,,,,0.543,0,,,0,1,0,1,19h24m04.83s,291.020145,+39d13m14.4s,39.220678,989,0,13.968,,0,0,Kepler-band,6260,0,0,1.23,0,0,1.36,0,0
2813,Kepler-821,b,Transit,1,1.92279873,0,,,,,,,,,,0.117,0,,,0,1,0,1,19h02m28.18s,285.617437,+39d22m46.3s,39.37953,619,0,14.829,,0,0,Kepler-band,5191,0,0,0.84,0,0,0.8,0,0
2814,Kepler-822,b,Transit,1,3.22296927,0,,,,,,,,,,0.158,0,,,0,1,0,1,19h29m06.27s,292.276118,+39d33m00.6s,39.550179,956,0,14.609,,0,0,Kepler-band,5928,0,0,1.06,0,0,1.08,0,0
2815,Kepler-823,b,Transit,1,4.16809082,0,,,,,,,,,,0.14,0,,,0,1,0,1,18h58m19.82s,284.582577,+39d13m12.7s,39.220204,896,0,14.801,,0,0,Kepler-band,5643,0,0,0.98,0,0,0.96,0,0
2816,Kepler-824,b,Transit,1,4.51436633,0,,,,,,,,,,0.167,0,,,0,1,0,1,19h21m54.58s,290.477412,+39d43m55.2s,39.732009,1352,0,14.946,,0,0,Kepler-band,6035,0,0,1.15,0,0,1.22,0,0
2817,Kepler-825,b,Transit,2,3.77360059,0,,,,,,,,,,0.136,0,,,0,1,0,1,19h39m04.78s,294.769908,+39d23m54.7s,39.398514,820,0,14.207,,0,0,Kepler-band,5976,0,0,1.03,0,0,1.08,0,0
2818,Kepler-825,c,Transit,2,8.1818246,0,,,,,,,,,,0.164,0,,,0,1,0,1,19h39m04.78s,294.769908,+39d23m54.7s,39.398514,820,0,14.207,,0,0,Kepler-band,5976,0,0,1.03,0,0,1.08,0,0
2819,Kepler-826,b,Transit,1,4.48758907,0,,,,,,,,,,0.112,0,,,0,1,0,1,18h59m26.43s,284.860139,+39d14m26.0s,39.240548,649,0,13.446,,0,0,Kepler-band,6079,0,0,1.05,0,0,1.15,0,0
2820,Kepler-827,b,Transit,1,51.92927591,0,,,,,,,,,,0.502,0,,,0,1,0,1,19h39m51.85s,294.966046,+42d42m30.8s,42.708569,1352,0,15.897,,0,0,Kepler-band,5602,0,0,0.93,0,0,0.91,0,0
2821,Kepler-828,b,Transit,1,0.56785714,0,,,,,,,,,,0.135,0,,,0,1,0,1,19h07m32.95s,286.887275,+42d28m16.5s,42.471256,625,0,15.055,,0,0,Kepler-band,5039,0,0,0.81,0,0,0.77,0,0
2822,Kepler-829,b,Transit,1,6.88337562,0,,,,,,,,,,0.188,0,,,0,1,0,1,18h49m19.87s,282.332793,+42d27m49.8s,42.463825,954,0,14.931,,0,0,Kepler-band,5698,0,0,0.98,0,0,0.97,0,0
2823,Kepler-83,b,Transit,3,9.77,0,,,,,,,,,,0.252,0,,,1,1,0,1,18h48m55.81s,282.232525,+43d39m56.3s,43.665627,,,15.777,,0,0,Kepler-band,4648,0,0,0.66,0,0,0.59,0,0
2824,Kepler-83,c,Transit,3,20.09,0,,,,,,,,,,0.211,0,,,1,1,0,1,18h48m55.81s,282.232525,+43d39m56.3s,43.665627,,,15.777,,0,0,Kepler-band,4648,0,0,0.66,0,0,0.59,0,0
2825,Kepler-83,d,Transit,3,5.169796,0,0.051,0,,,,,,,,0.173,0,,,0,1,0,1,18h48m55.81s,282.232525,+43d39m56.3s,43.665627,,,15.777,,0,0,Kepler-band,4648,0,0,0.66,0,0,0.59,0,0
2826,Kepler-830,b,Transit,1,11.29695137,0,,,,,,,,,,0.152,0,,,0,1,0,1,19h40m13.03s,295.054286,+42d45m24.6s,42.756847,1122,0,14.788,,0,0,Kepler-band,6037,0,0,1.07,0,0,1.11,0,0
2827,Kepler-831,b,Transit,1,5.62153941,0,,,,,,,,,,0.113,0,,,0,1,0,1,19h39m56.52s,294.985491,+42d43m39.6s,42.727669,577,0,13.687,,0,0,Kepler-band,5732,0,0,0.99,0,0,0.97,0,0
2828,Kepler-832,b,Transit,1,7.1396941,0,,,,,,,,,,0.184,0,,,0,1,0,1,19h43m42.26s,295.926094,+45d23m01.9s,45.383862,1346,0,15.906,,0,0,Kepler-band,5596,0,0,0.92,0,0,0.9,0,0
2829,Kepler-833,b,Transit,1,18.7546998,0,,,,,,,,,,0.18,0,,,0,1,0,1,19h21m55.19s,290.479954,+45d36m02.5s,45.6007,421,0,15.473,,0,0,Kepler-band,4339,0,0,0.64,0,0,0.62,0,0
2830,Kepler-834,b,Transit,1,13.32388301,0,,,,,,,,,,0.18,0,,,0,1,0,1,19h08m13.08s,287.054516,+45d10m49.3s,45.180374,620,0,15.931,,0,0,Kepler-band,4554,0,0,0.7,0,0,0.66,0,0
2831,Kepler-835,b,Transit,1,11.41909375,0,,,,,,,,,,0.249,0,,,0,1,0,1,18h54m17.82s,283.574233,+45d44m05.3s,45.734802,2011,0,15.965,,0,0,Kepler-band,5954,0,0,1.08,0,0,1.11,0,0
2832,Kepler-836,b,Transit,1,11.36112327,0,,,,,,,,,,0.244,0,,,0,1,0,1,19h09m48.67s,287.452778,+45d42m15.8s,45.704399,1003,0,14.63,,0,0,Kepler-band,5895,0,0,1.03,0,0,1.04,0,0
2833,Kepler-837,b,Transit,1,16.56059504,0,,,,,,,,,,0.228,0,,,0,1,0,1,19h00m59.20s,285.24667,+45d57m00.7s,45.950195,846,0,15.198,,0,0,Kepler-band,5403,0,0,0.85,0,0,0.81,0,0
